"統一編號","公司名稱","負責人","公司地址","實收資本額","公司狀態","產製日期"
"05184787","金石堂圖書股份有限公司","周O芳","臺北市中正區汀州路3段184號1樓之11，12，13，14，15，16，17，18，及192號地下室","255991000","核准設立","2017-11-01 03:32:41.01"
"05406486","美而快實業股份有限公司","三O投資股份有限公司","臺北市南港區南港路3段47巷8號1樓","149700000","核准設立","2017-11-01 03:32:41.01"
"05714195","遠百企業股份有限公司","徐O東","新北市板橋區貴興路101號","877440000","核准設立","2017-11-01 03:32:41.01"
"06667446","京城建設股份有限公司","蔡O贊","高雄市左營區博愛二路150號12樓","3842707320","核准設立","2017-11-01 03:32:41.01"
"07046620","中日國際企業股份有限公司","夏O夷華得企業股份有限公司","臺北市中山區力行里12鄰復興北路48號7樓","2731664070","核准設立","2017-11-01 03:32:41.01"
"07220710","宏洲纖維工業股份有限公司","詹O田","臺北市內湖區瑞光路607號7樓","1321124540","核准設立","2017-11-01 03:32:41.01"
"07407200","富順纖維工業股份有限公司","陳O進","臺北市大同區塔城街64號8樓","600000000","核准設立","2017-11-01 03:32:41.01"
"07435901","新光紡織股份有限公司","吳O恩","臺北市中山區南京東路2段123號6、7樓","3000412800","核准設立","2017-11-01 03:32:41.01"
"07510318","華友聯開發股份有限公司","陸O廷","臺北市中正區愛國東路22號14樓","759000000","核准設立","2017-11-01 03:32:41.01"
"07627561","元美實業股份有限公司","湯O菁","臺北市大同區民生西路300號8樓","4000000","核准設立","2017-11-01 03:32:41.01"
"07663290","力麗企業股份有限公司","郭O儀","臺北市中山區松江路162號11樓","9573029420","核准設立","2017-11-01 03:32:41.01"
"07712932","義美股份有限公司","高O尚","臺北市大同區延平北路2段29號2樓","145000000","核准設立","2017-11-01 03:32:41.01"
"09409056","美兆生活事業股份有限公司","曹O鏗","臺北市中正區忠孝西路1段66號29樓之1","400000000","核准設立","2017-11-01 03:32:41.01"
"09419218","悅創國際科技有限公司","章O華","臺北市大安區大安路1段145號2樓","null","核准設立","2017-11-01 03:32:41.01"
"09427322","碩勇股份有限公司","紀O","臺北市大同區哈密街143號","37000000","核准設立","2017-11-01 03:32:41.01"
"09457839","艾伊諾服飾開發股份有限公司","","臺北市大安區敦化南路1段205號6樓之6","3000000","解散","2017-11-01 03:32:41.01"
"09477650","勇信貿易股份有限公司","黃O隆","臺北市大安區忠孝東路3段227之3號2樓","160000100","核准設立","2017-11-01 03:32:41.01"
"11002716","戰國策網路科技股份有限公司","李O碧","臺北市信義區忠孝東路5段68號29樓","15000000","核准設立","2017-11-01 03:32:41.01"
"11081274","六福開發股份有限公司","莊O徹","新竹縣關西鎮仁安里拱子溝60號","3391575080","核准設立","2017-11-01 03:32:41.01"
"11121403","中美聯合實業股份有限公司","關O","臺北市大安區敦化南路2段76號12樓","2250000000","核准設立","2017-11-01 03:32:41.01"
"11298318","伸盈泰股份有限公司","鄭O恩","新北市汐止區大同路3段196-2號7樓","10000000","核准設立","2017-11-01 03:32:41.01"
"11330892","民台科技股份有限公司","王O然","臺北市中正區青島東路5號5樓","70625000","核准設立","2017-11-01 03:32:41.01"
"11511090","皇冠金屬工業股份有限公司","林O蓓","臺北市中山區復興南路1段2號8樓之1","109200000","核准設立","2017-11-01 03:32:41.01"
"11547230","高林實業股份有限公司","李O祿","臺北市松山區敦化北路201之1號6樓","2091110930","核准設立","2017-11-01 03:32:41.01"
"11550500","高田貿易有限公司","賴O汶","臺北市中山區中山北路2段137巷23號1樓","null","核准設立","2017-11-01 03:32:41.01"
"11646323","富聚股份有限公司","何O仁","臺北市中山區南京東路2段124號7樓","168000000","核准設立","2017-11-01 03:32:41.01"
"11658137","華泰大飯店企業股份有限公司","陳O貴","臺北市中山區中山里林森北路369號","850000000","核准設立","2017-11-01 03:32:41.01"
"11768704","義美食品股份有限公司","高O尚","臺北市大同區延平北路2段31號1樓","2000000000","核准設立","2017-11-01 03:32:41.01"
"12139612","潤泰創新國際股份有限公司","簡O圳","臺北市中山區八德路2段308號11樓之1","16720899980","核准設立","2017-11-01 03:32:41.01"
"12154916","吉焮貿易有限公司","林O隆","臺北市中山區松江路152號9樓之13","0","核准設立","2017-11-01 03:32:41.01"
"12171149","點吾企業有限公司","牛O望","臺北市中山區吉林路79號3樓之3","0","核准設立","2017-11-01 03:32:41.01"
"12187938","未來服飾有限公司","施O基","新北市五股區五權七路44號","0","核准設立","2017-11-01 03:32:41.01"
"12225356","佑通資通綠能有限公司","李O凡","臺北市內湖區新明路381號3樓","0","核准設立","2017-11-01 03:32:41.01"
"12268241","台北東麗國際股份有限公司","高O洋","臺北市松山區長春路451號6樓","20000000","核准設立","2017-11-01 03:32:41.01"
"12319086","綺麗珊瑚有限公司","洪O麗","臺北市中山區林森北路615號2樓","0","核准設立","2017-11-01 03:32:41.01"
"12343656","振夏實業有限公司","","臺北市士林區雨聲街8巷18號1樓","null","解散","2017-11-01 03:32:41.01"
"12346886","貿騰企業股份有限公司","","新北市三重區三和路4段111之34號2樓","29800000","解散","2017-11-01 03:32:41.01"
"12347055","貿達針織股份有限公司","","新北市三重區三和路4段111之34號2樓之1","29236110","解散","2017-11-01 03:32:41.01"
"12357406","香港商國泰航空有限公司","李O欣","臺北市松山區民生東路3段129號環球商業大樓12樓","0","核准設立","2017-11-01 03:32:41.01"
"12371287","采盟股份有限公司","古O琴","臺北市松山區中正里復興北路57號3樓之1、2、7","2600000000","核准設立","2017-11-01 03:32:41.01"
"12373243","日勝生活科技股份有限公司","林O顯","臺北市大同區市民大道1段209號14樓","8944192630","核准設立","2017-11-01 03:32:41.01"
"12402578","金宙實業股份有限公司","盧O新","新北市新店區達觀路38之2號","11000000","核准設立","2017-11-01 03:32:41.01"
"12403534","康和資訊系統股份有限公司","陶O光","臺北市內湖區瑞光路318號5樓","202216730","核准設立","2017-11-01 03:32:41.01"
"12455259","英雄樓有限公司","林O雲","花蓮縣花蓮市民生里花崗街56號2樓","0","核准設立","2017-11-01 03:32:41.01"
"12481828","伊芙巴黎左岸股份有限公司","李O典","臺北市內湖區洲子街75號11、12樓","60000000","核准設立","2017-11-01 03:32:41.01"
"12489011","金沙國際興業股份有限公司","","臺北市中正區和平西路１段１６１號４樓","180000000","解散","2017-11-01 03:32:41.01"
"12489201","風雷益系統科技有限公司","李O惠","臺北市中山區中山北路2段27巷3之3號3樓","null","核准設立","2017-11-01 03:32:41.01"
"12522692","池袋股份有限公司","蔡O雄","臺北市內湖區洲子街194號2樓、2樓之1、196號1、2樓","100000000","核准設立","2017-11-01 03:32:41.01"
"12539552","東立出版社有限公司","黃O月","臺北市大同區承德路2段81號10樓","null","核准設立","2017-11-01 03:32:41.01"
"12541044","家王室內裝修股份有限公司","康O昌","臺北市松山區民生東路5段36巷8弄9之3號","37000000","核准設立","2017-11-01 03:32:41.01"
"12601324","唐翊科技股份有限公司","","臺南市安平區永華路二段二四八號廿樓之四","75000000","廢止","2017-11-01 03:32:41.01"
"12601844","便利客實業有限公司","","臺中市南屯區大同里東興路二段六八號一樓","null","廢止","2017-11-01 03:32:41.01"
"12601892","艾淂貿易有限公司","","彰化縣溪湖鎮平和里平等街三七號","null","廢止","2017-11-01 03:32:41.01"
"12605406","欽威企業有限公司","陳O芬","嘉義縣朴子市四維路2段8號","0","核准設立","2017-11-01 03:32:41.01"
"12606209","戎盛股份有限公司","","臺中市大里區內新街七二號一樓","10000000","廢止","2017-11-01 03:32:41.01"
"12607811","承寶興業有限公司","","臺中市西屯區何安里台中港路二段六○︱八號四樓之七","null","解散","2017-11-01 03:32:41.01"
"12609578","卡豆有限公司","謝O琴","臺中市北屯區天津路四段108號","0","核准設立","2017-11-01 03:32:41.01"
"12611574","奧薰有限公司","","苗栗縣苗栗市青苗里中山路602號602-1號606號2、3、4、4-1.5.6.7樓","null","廢止","2017-11-01 03:32:41.01"
"12626113","美食家食材通路股份有限公司","吳O豐","臺南市安平區永華路二段373號","150000000","核准設立","2017-11-01 03:32:41.01"
"12630025","才洋科技股份有限公司","","新北市新店區北新路一段八九號九樓之三","8000000","廢止","2017-11-01 03:32:41.01"
"12636127","海港時尚股份有限公司","","基隆市中正區義一路114號10樓","2500000","解散","2017-11-01 03:32:41.01"
"12638194","珈瑪股份有限公司","","新北市汐止區福安街二○巷二五弄四號五樓","6000000","解散","2017-11-01 03:32:41.01"
"12641563","網客龍股份有限公司","","新北市樹林區龍興街三十之一號二樓","6000000","解散","2017-11-01 03:32:41.01"
"12643324","翔晰貿易有限公司","","臺南市北區西門路四段一一０巷六號二樓","null","解散","2017-11-01 03:32:41.01"
"12646194","如田國際藝術股份有限公司","","新北市鶯歌區同慶里重慶街一一二號四樓","1000000","解散","2017-11-01 03:32:41.01"
"12650133","騏翔有限公司","陳O和","臺北市大同區哈密街59巷78弄45號","null","核准設立","2017-11-01 03:32:41.01"
"12657488","太平洋國際遊艇股份有限公司","江O娟","宜蘭縣蘇澳鎮福德路366巷8號  ","29000000","核准設立","2017-11-01 03:32:41.01"
"12658368","富麗金建設有限公司","田O宣","宜蘭縣羅東鎮四維路156巷2號1樓","null","核准設立","2017-11-01 03:32:41.01"
"12662166","周氏國際企業股份有限公司","","臺北市南港區南港路3段50巷11號4樓","143000000","解散","2017-11-01 03:32:41.01"
"12663159","美好樂科技休旅有限公司","","臺北市大同區西寧北路78-18號9樓","null","解散","2017-11-01 03:32:41.01"
"12665656","柏里尼國際股份有限公司","黃O連","臺北市松山區南京東路5段356號7樓","10000000","核准設立","2017-11-01 03:32:41.01"
"12666120","第一超市股份有限公司","王O郎","臺北市松山區南京東路4段1號","20000000","核准設立","2017-11-01 03:32:41.01"
"12670829","儂特利食品有限公司","于O嘉","臺北市中正區仁愛路1段8號","0","核准設立","2017-11-01 03:32:41.01"
"12674851","派對貿易有限公司","葉O蘋","臺北市士林區中山北路5段529號1樓","null","核准設立","2017-11-01 03:32:41.01"
"12675438","經貿數位商務股份有限公司","","臺北市內湖區瑞光路26巷36弄2號3樓","36000000","廢止","2017-11-01 03:32:41.01"
"12682206","鼎仁國際開發股份有限公司","沈O庭","臺北市信義區忠孝東路5段31巷18弄19號2樓","10000000","核准設立","2017-11-01 03:32:41.01"
"12684422","楷思行銷有限公司","馬O明","臺北市大同區延平北路1段54號4樓","0","核准設立","2017-11-01 03:32:41.01"
"12685288","奇碁亞洲電子商務股份有限公司","","","null","解散已清算完結","2017-11-01 03:32:41.01"
"12687130","碩豐國際股份有限公司","王O萍","新北市三重區重新路5段609巷8號6樓之2","515000000","核准設立","2017-11-01 03:32:41.01"
"12688320","新洋餐飲有限公司","","臺北市松山區光復北路９號４樓","null","廢止","2017-11-01 03:32:41.01"
"12691346","潛能學習發展有限公司","","臺北市信義區林口街２１４號１樓","null","廢止","2017-11-01 03:32:41.01"
"12691768","富淶國際數位科技股份有限公司","","臺北市大同區民族西路６２號６樓","5000000","廢止","2017-11-01 03:32:41.01"
"12693371","三皇生物科技股份有限公司","王O坤","臺南市善化區坐駕里成功路427號","90000000","核准設立","2017-11-01 03:32:41.01"
"12695238","金炳科技股份有限公司","","臺北市中山區民權東路３段５５號１樓","11000000","解散","2017-11-01 03:32:41.01"
"12695672","旭璽食品有限公司","孫O正","新北市汐止區湖前街110巷97弄6之6號13樓","0","核准設立","2017-11-01 03:32:41.01"
"12698381","際新室內裝修工程有限公司","翁O娟","臺北市中山區林森北路479號5樓之2","0","核准設立","2017-11-01 03:32:41.01"
"12698571","岑記國際股份有限公司","盧O言","臺北市南港區八德路4段768巷3號4樓之1","20000000","核准設立","2017-11-01 03:32:41.01"
"12699945","龍門物業管理顧問股份有限公司","曹O豪","新竹市北區客雅里30鄰經國路2段484巷8號1樓","10000000","核准設立","2017-11-01 03:32:41.01"
"12701082","堡綠環境科技股份有限公司","","新北市板橋區青翠里民治街82巷2號","10000000","廢止","2017-11-01 03:32:41.01"
"12702527","昆明有限公司","","雲林縣西螺鎮中和里中山路二八號一樓","null","解散","2017-11-01 03:32:41.01"
"12702765","易上王資訊股份有限公司","","臺南市東區東光里東興路一六九巷二號","5000000","解散","2017-11-01 03:32:41.01"
"12703146","法柯特有限公司","","臺中市南屯區東興東街六五號一樓","null","解散","2017-11-01 03:32:41.01"
"12713658","田納西書店有限公司","廖O標","雲林縣斗六市鎮西里民生南路6號1樓、2樓　鎮西里雲林路一段197號1樓、2樓","null","核准設立","2017-11-01 03:32:41.01"
"12721600","力臣國際有限公司","朱O震","臺北市北投區光明路223號9樓","0","核准設立","2017-11-01 03:32:41.01"
"12722734","大億國際酒店股份有限公司","吳O億","臺南市中西區西門路一段660號","250000000","核准設立","2017-11-01 03:32:41.01"
"12726794","銅鎰有限公司","許O倫","桃園市龜山區萬壽路一段195號","0","核准設立","2017-11-01 03:32:41.01"
